,Cluster,Day_of_week,Name_of_the_Base,Type_of_tasking,Tasking_location,Region,Time_of_day,MonthYear,Tasking_complnotcompl
213,0,Friday,Humberside,Rescue/Recovery,Maritime,East of England,12:00pm - 2:59pm,06/2015,Yes
214,1,Saturday,Humberside,Aborted/Not Required,Land,East Midlands,3:00pm - 5:59pm,06/2015,No
215,1,Saturday,Sumburgh,Rescue/Recovery,Maritime,North Eastern Scotland,6:00pm - 8:59pm,06/2015,Yes
216,0,Saturday,Stornoway,Rescue/Recovery,Land,Highlands and Islands,12:00pm - 2:59pm,06/2015,Yes
217,0,Saturday,Sumburgh,Rescue/Recovery,Coast,Highlands and Islands,12:00pm - 2:59pm,06/2015,Yes
218,1,Saturday,Lee On Solent,Aborted/Not Required,Coast,South East,3:00pm - 5:59pm,06/2015,No
219,1,Saturday,Lee On Solent,Search Only,Coast,South East,3:00pm - 5:59pm,06/2015,Yes
220,1,Saturday,Lee On Solent,Search Only,Land,South West,6:00pm - 8:59pm,06/2015,Yes
221,1,Saturday,Lee On Solent,Aborted/Not Required,Coast,South East,9:00pm - 11:59pm,06/2015,No
222,0,Saturday,Inverness,Rescue/Recovery,Land,Highlands and Islands,3:00pm - 5:59pm,06/2015,Yes
223,0,Saturday,Stornoway,Aborted/Not Required,Land,Highlands and Islands,3:00pm - 5:59pm,06/2015,Yes
224,0,Sunday,Inverness,Support,Land,Highlands and Islands,9:00pm - 11:59pm,06/2015,Yes
225,1,Sunday,Portland,Rescue/Recovery,Coast,South West,9:00am - 11:59am,06/2015,Yes
226,0,Sunday,Portland,Rescue/Recovery,Land,Wales,3:00pm - 5:59pm,06/2015,Yes
227,0,Sunday,Lee On Solent,Rescue/Recovery,Coast,South East,6:00pm - 8:59pm,06/2015,Yes
228,0,Sunday,Humberside,Aborted/Not Required,Land,North West,3:00pm - 5:59pm,06/2015,No
229,1,Monday,Portland,Rescue/Recovery,Coast,South West,12:00pm - 2:59pm,06/2015,Yes
230,0,Monday,Inverness,Support,Land,Highlands and Islands,3:00am - 5:59am,06/2015,Yes
231,0,Monday,Inverness,Rescue/Recovery,Coast,Highlands and Islands,6:00pm - 8:59pm,06/2015,Yes
232,0,Monday,Stornoway,Search Only,Land,Highlands and Islands,3:00am - 5:59am,06/2015,Yes
233,0,Monday,Stornoway,Rescue/Recovery,Coast,Highlands and Islands,6:00pm - 8:59pm,06/2015,Yes
234,0,Monday,Humberside,Aborted/Not Required,Maritime,North East,12:00am - 2:59am,06/2015,No
235,0,Tuesday,Stornoway,Rescue/Recovery,Land,Highlands and Islands,3:00pm - 5:59pm,06/2015,Yes
236,1,Tuesday,Portland,Rescue/Recovery,Coast,South West,6:00pm - 8:59pm,06/2015,Yes
237,1,Tuesday,Lee On Solent,Rescue/Recovery,Coast,South East,3:00pm - 5:59pm,06/2015,Yes
238,0,Wednesday,Sumburgh,Rescue/Recovery,Maritime,North Eastern Scotland,12:00pm - 2:59pm,06/2015,Yes
