Date,Day_of_week,Name_of_the_Base,Type_of_tasking,Tasking_location,Tasking_outcome,Region,Latitude,Longitude,Time_of_day,Tasking_duration
22/08/2018,Wednesday,Humberside,Rescue/Recovery,Land,Terminated En Route,North East,54.98,-1.38,12.00pm - 2.59pm,0
22/08/2018,Wednesday,Caernarfon,Support,Coast,Terminated En Route,North West,53.37,-3.19,6.00pm - 8.59pm,0
22/08/2018,Wednesday,Newquay,Pre-arranged Transfer,Coast,Supported & Completed,South West,49.91,-6.29,3.00pm - 5.59pm,1
22/08/2018,Wednesday,Sumburgh,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,59.25,-2.58,3.00pm - 5.59pm,2
22/08/2018,Wednesday,Newquay,Support,Coast,Supported & Completed,South West,50.2,-5.43,6.00pm - 8.59pm,1
22/08/2018,Wednesday,Caernarfon,Pre-arranged Transfer,Land,Supported & Completed,Wales,52.4,-4.06,9.00pm - 11.59pm,3
22/08/2018,Wednesday,Lydd,Search only,Coast,Supported & Completed,South East,50.74,0.2,12.00am - 2.59am,1
23/08/2018,Thursday,Inverness,Pre-arranged Transfer,Land,Supported & Completed,Highlands and Islands,58.96,-2.91,3.00am - 5.59am,3
23/08/2018,Thursday,Stornoway,Rescue/Recovery,Maritime,Supported & Completed,Highlands and Islands,59.32,-9.68,6.00am - 8.59am,2
23/08/2018,Thursday,Humberside,Rescue/Recovery,Land,Supported & Completed,North East,54.99,-1.66,9.00am - 11.59am,2
23/08/2018,Thursday,Newquay,Rescue/Recovery,Coast,Supported & Completed,South West,49.91,-6.29,12.00pm - 2.59pm,2
23/08/2018,Thursday,Stornoway,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,57.48,-6.02,12.00pm - 2.59pm,4
23/08/2018,Thursday,St Athan,Rescue/Recovery,Land,Supported & Completed,Wales,52.71,-4.01,12.00pm - 2.59pm,2
23/08/2018,Thursday,Lee on Solent,Rescue/Recovery,Coast,Supported & Completed,South West,50.62,-2.28,3.00pm - 5.59pm,1
23/08/2018,Thursday,Inverness,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,56.8,-5.03,6.00pm - 8.59pm,3
23/08/2018,Thursday,Inverness,Support,Land,Terminated En Route,North Eastern Scotland,57.55,-2,9.00pm - 11.59pm,0
23/08/2018,Thursday,Prestwick,Search only,Land,Terminated On Scene,North West,54.48,-3.22,6.00pm - 8.59pm,2
23/08/2018,Thursday,Humberside,Rescue/Recovery,Maritime,Supported & Completed,Yorkshire and the Humber,53.96,1.3,9.00pm - 11.59pm,2
24/08/2018,Friday,Prestwick,Rescue/Recovery,Coast,Supported & Completed,Eastern Scotland,56.05,-3.24,9.00am - 11.59am,1
24/08/2018,Friday,Prestwick,Rescue/Recovery,Land,Supported & Completed,Southern Scotland,55.6,-3.66,9.00am - 11.59am,1
24/08/2018,Friday,Caernarfon,Search only,Coast,Supported & Completed,Wales,53.36,-4.23,12.00pm - 2.59pm,1
24/08/2018,Friday,St Athan,Support,Land,Terminated En Route,Wales,51.77,-4.46,3.00pm - 5.59pm,0
24/08/2018,Friday,Newquay,Rescue/Recovery,Maritime,Supported & Completed,South West,50.93,-5.85,3.00pm - 5.59pm,2
24/08/2018,Friday,Lee on Solent,Pre-arranged Transfer,Land,Supported & Completed,South East,50.71,-1.3,6.00pm - 8.59pm,1
25/08/2018,Saturday,Humberside,Support,Land,Terminated En Route,North East,54.84,-1.33,9.00am - 11.59am,0
25/08/2018,Saturday,Newquay,Rescue/Recovery,Land,Supported & Completed,South West,50.61,-4.7,9.00am - 11.59am,1
25/08/2018,Saturday,Inverness,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,56.8,-5.02,12.00pm - 2.59pm,1
25/08/2018,Saturday,St Athan,Rescue/Recovery,Coast,Supported & Completed,Wales,51.6,-4.96,12.00pm - 2.59pm,2
25/08/2018,Saturday,Newquay,Pre-arranged Transfer,Coast,Supported & Completed,South West,49.96,-6.29,12.00pm - 2.59pm,1
25/08/2018,Saturday,Caernarfon,Support,Land,Supported & Completed,Wales,53.08,-4.08,3.00pm - 5.59pm,0
25/08/2018,Saturday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.31,-4.68,3.00pm - 5.59pm,2
25/08/2018,Saturday,Inverness,Pre-arranged Transfer,Land,Supported & Completed,Highlands and Islands,57.65,-3.31,6.00pm - 8.59pm,1
25/08/2018,Saturday,St Athan,Rescue/Recovery,Land,Supported & Completed,Wales,53.07,-4.07,9.00pm - 11.59pm,4
25/08/2018,Saturday,Newquay,Rescue/Recovery,Land,Supported & Completed,South West,50.34,-4.66,9.00pm - 11.59pm,1
25/08/2018,Saturday,Humberside,Search only,Maritime,Diverted / Suspended,East of England,52.8,2.33,3.00pm - 5.59pm,7
25/08/2018,Saturday,Lydd,Search only,Maritime,Diverted / Suspended,East of England,52.8,2.33,6.00pm - 8.59pm,7
26/08/2018,Sunday,Caernarfon,Rescue/Recovery,Coast,Supported & Completed,Wales,53.33,-3.83,12.00pm - 2.59pm,0
26/08/2018,Sunday,Caernarfon,Search only,Coast,Supported & Completed,Wales,53.32,-3.73,12.00pm - 2.59pm,0
26/08/2018,Sunday,Humberside,Rescue/Recovery,Maritime,Supported & Completed,East of England,52.81,2.34,9.00am - 11.59am,2
26/08/2018,Sunday,Lydd,Search only,Maritime,Supported & Completed,East of England,52.81,2.34,9.00am - 11.59am,3
26/08/2018,Sunday,Caernarfon,Rescue/Recovery,Coast,Terminated Prior to Launch,North West,54.2,-3.29,6.00pm - 8.59pm,0
26/08/2018,Sunday,Stornoway,Search only,Land,Supported & Completed,Highlands and Islands,58.04,-5.21,6.00pm - 8.59pm,2
27/08/2018,Monday,Newquay,Rescue/Recovery,Coast,Supported & Completed,South West,50.35,-5.16,12.00am - 2.59am,0
27/08/2018,Monday,Sumburgh,Rescue/Recovery,Maritime,Supported & Completed,Highlands and Islands,61.1,1.07,6.00am - 8.59am,2
27/08/2018,Monday,St Athan,Support,Coast,Terminated On Scene,Wales,51.6,-4.95,9.00am - 11.59am,1
27/08/2018,Monday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.07,-4.05,12.00pm - 2.59pm,1
27/08/2018,Monday,St Athan,Rescue/Recovery,Land,Supported & Completed,Wales,51.78,-3.56,12.00pm - 2.59pm,2
27/08/2018,Monday,Lee on Solent,Support,Land,Terminated En Route,South West,51.58,-2.47,12.00pm - 2.59pm,1
27/08/2018,Monday,Newquay,Pre-arranged Transfer,Land,Supported & Completed,South West,51.09,-4.05,3.00pm - 5.59pm,3
27/08/2018,Monday,Lydd,Support,Coast,Terminated Prior to Launch,South East,51.39,1.36,3.00pm - 5.59pm,0
27/08/2018,Monday,Newquay,Pre-arranged Transfer,Coast,Supported & Completed,South West,49.91,-6.29,6.00pm - 8.59pm,1
27/08/2018,Monday,Humberside,Rescue/Recovery,Maritime,Supported & Completed,Yorkshire and the Humber,54.47,0.06,6.00pm - 8.59pm,2
27/08/2018,Monday,Caernarfon,Pre-arranged Transfer,Land,Supported & Completed,Wales,53.21,-4.16,6.00pm - 8.59pm,2
27/08/2018,Monday,Inverness,Rescue/Recovery,Land,Supported & Completed,Eastern Scotland,56.57,-4.56,9.00pm - 11.59pm,1
28/08/2018,Tuesday,Lydd,Rescue/Recovery,Land,Supported & Completed,South East,50.85,0.52,9.00am - 11.59am,1
28/08/2018,Tuesday,Lee on Solent,Support,Coast,Supported & Completed,South East,50.78,-1.36,12.00pm - 2.59pm,0
28/08/2018,Tuesday,Lydd,Search only,Maritime,Supported & Completed,South East,51.25,1.75,3.00pm - 5.59pm,1
28/08/2018,Tuesday,Stornoway,Rescue/Recovery,Maritime,Supported & Completed,Highlands and Islands,56.72,-7.17,9.00pm - 11.59pm,5
29/08/2018,Wednesday,Humberside,Search only,Coast,Supported & Completed,East Midlands,53.09,0.33,12.00am - 2.59am,2
29/08/2018,Wednesday,Lee on Solent,Search only,Coast,Supported & Completed,South East,50.77,-1.11,9.00am - 11.59am,1
29/08/2018,Wednesday,Inverness,Support,Coast,Supported & Completed,North Eastern Scotland,57.42,-1.83,9.00am - 11.59am,1
29/08/2018,Wednesday,Inverness,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,56.88,-5.75,9.00am - 11.59am,0
29/08/2018,Wednesday,Prestwick,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,56.88,-5.75,9.00am - 11.59am,2
29/08/2018,Wednesday,Humberside,Support,Coast,Cancelled,East Midlands,53.2,0.35,12.00pm - 2.59pm,0
29/08/2018,Wednesday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,North West,54.45,-3.21,12.00pm - 2.59pm,4
29/08/2018,Wednesday,Lydd,Search only,Maritime,Supported & Completed,South East,51,1.12,12.00pm - 2.59pm,2
29/08/2018,Wednesday,Stornoway,Search only,Coast,Supported & Completed,Highlands and Islands,57.73,-5.78,6.00pm - 8.59pm,1
29/08/2018,Wednesday,Humberside,Rescue/Recovery,Coast,Supported & Completed,Yorkshire and the Humber,53.61,-0.16,3.00pm - 5.59pm,2
29/08/2018,Wednesday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,52.94,-4.53,6.00pm - 8.59pm,2
29/08/2018,Wednesday,Inverness,Search only,Land,Supported & Completed,Highlands and Islands,56.67,-4.98,9.00pm - 11.59pm,3
30/08/2018,Thursday,Newquay,Rescue/Recovery,Coast,Supported & Completed,South West,50.21,-3.71,3.00am - 5.59am,1
30/08/2018,Thursday,Prestwick,Search only,Land,Supported & Completed,Highlands and Islands,56.67,-4.98,6.00am - 8.59am,2
30/08/2018,Thursday,Humberside,Search only,Coast,Terminated On Scene,Yorkshire and the Humber,54.56,-0.76,9.00am - 11.59am,1
30/08/2018,Thursday,Humberside,Support,Land,Supported & Completed,Yorkshire and the Humber,53.91,-0.27,12.00pm - 2.59pm,0
30/08/2018,Thursday,Newquay,Rescue/Recovery,Maritime,Supported & Completed,South West,49.83,-4.5,9.00am - 11.59am,2
30/08/2018,Thursday,Humberside,Rescue/Recovery,Land,Supported & Completed,North West,54.46,-3.21,3.00pm - 5.59pm,3
30/08/2018,Thursday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.08,-4.05,3.00pm - 5.59pm,1
30/08/2018,Thursday,Newquay,Rescue/Recovery,Coast,Supported & Completed,South West,49.89,-6.35,9.00pm - 11.59pm,2
31/08/2018,Friday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.08,-4.11,12.00am - 2.59am,3
31/08/2018,Friday,St Athan,Rescue/Recovery,Land,Supported & Completed,South West,51.18,-3.33,9.00am - 11.59am,1
31/08/2018,Friday,Sumburgh,Rescue/Recovery,Maritime,Supported & Completed,Highlands and Islands,60.7,-2.52,12.00pm - 2.59pm,1
31/08/2018,Friday,Lydd,Support,Coast,Terminated En Route,South East,51.08,1.19,6.00pm - 8.59pm,0
31/08/2018,Friday,Lee on Solent,Support,Coast,Terminated En Route,South West,50.61,-2.44,9.00pm - 11.59pm,0
31/08/2018,Friday,Humberside,Pre-arranged Transfer,Land,Supported & Completed,Yorkshire and the Humber,53.59,-0.66,6.00pm - 8.59pm,4
01/09/2018,Saturday,Lydd,Rescue/Recovery,Coast,Terminated On Scene,South East,50.82,0.57,9.00am - 11.59am,0
01/09/2018,Saturday,Caernarfon,Pre-arranged Transfer,Land,Supported & Completed,North West,54.04,-2.8,9.00am - 11.59am,2
01/09/2018,Saturday,Stornoway,Rescue/Recovery,Coast,Supported & Completed,Highlands and Islands,57.48,-6.63,12.00pm - 2.59pm,3
01/09/2018,Saturday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.08,-4.09,12.00pm - 2.59pm,2
01/09/2018,Saturday,Prestwick,Pre-arranged Transfer,Land,Supported & Completed,Highlands and Islands,58.43,-3.1,12.00pm - 2.59pm,5
01/09/2018,Saturday,St Athan,Pre-arranged Transfer,Land,Supported & Completed,South West,51.09,-4.05,3.00pm - 5.59pm,5
01/09/2018,Saturday,Lee on Solent,Rescue/Recovery,Maritime,Supported & Completed,South West,50.26,-1.93,3.00pm - 5.59pm,1
01/09/2018,Saturday,Inverness,Rescue/Recovery,Coast,Supported & Completed,Highlands and Islands,57.89,-5.13,3.00pm - 5.59pm,2
01/09/2018,Saturday,Prestwick,Search only,Coast,Supported & Completed,Southern Scotland,54.64,-4.87,12.00am - 2.59am,2
02/09/2018,Sunday,Lee on Solent,Search only,Land,Supported & Completed,South West,50.56,-2.45,6.00am - 8.59am,1
02/09/2018,Sunday,Caernarfon,Search only,Land,Terminated Prior to Launch,Southern Scotland,54.64,-4.88,6.00am - 8.59am,0
02/09/2018,Sunday,Stornoway,Support,Land,Diverted / Suspended,Highlands and Islands,57.56,-5.47,12.00pm - 2.59pm,1
02/09/2018,Sunday,St Athan,Rescue/Recovery,Land,Supported & Completed,South West,51.65,-2.65,12.00pm - 2.59pm,2
02/09/2018,Sunday,Caernarfon,Rescue/Recovery,Coast,Supported & Completed,Wales,53.01,-4.39,3.00pm - 5.59pm,0
02/09/2018,Sunday,Newquay,Rescue/Recovery,Maritime,Supported & Completed,South West,50.12,-4.2,3.00pm - 5.59pm,2
02/09/2018,Sunday,Lydd,Support,Land,Cancelled,South East,51.01,0.96,6.00pm - 8.59pm,1
02/09/2018,Sunday,Humberside,Search only,Coast,Terminated En Route,Yorkshire and the Humber,54.3,-0.41,9.00pm - 11.59pm,0
02/09/2018,Sunday,Lee on Solent,Pre-arranged Transfer,Land,Supported & Completed,South West,49.21,-2.2,6.00pm - 8.59pm,4
03/09/2018,Monday,Newquay,Rescue/Recovery,Coast,Supported & Completed,South West,49.91,-6.29,12.00am - 2.59am,2
03/09/2018,Monday,Newquay,Rescue/Recovery,Coast,Supported & Completed,South West,49.95,-6.33,9.00am - 11.59am,1
03/09/2018,Monday,Newquay,Pre-arranged Transfer,Coast,Supported & Completed,South West,49.91,-6.3,12.00pm - 2.59pm,2
03/09/2018,Monday,Prestwick,Rescue/Recovery,Land,Supported & Completed,Southern Scotland,55.19,-4.37,12.00pm - 2.59pm,2
03/09/2018,Monday,Inverness,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,57.73,-4.12,3.00pm - 5.59pm,3
04/09/2018,Tuesday,Newquay,Rescue/Recovery,Coast,Supported & Completed,South West,49.91,-6.29,12.00am - 2.59am,2
04/09/2018,Tuesday,Newquay,Rescue/Recovery,Coast,Supported & Completed,South West,49.91,-6.29,9.00am - 11.59am,1
04/09/2018,Tuesday,St Athan,Support,Land,Supported & Completed,Wales,51.47,-3.57,3.00pm - 5.59pm,2
04/09/2018,Tuesday,Newquay,Support,Coast,Supported & Completed,South West,50.4,-3.49,6.00pm - 8.59pm,1
04/09/2018,Tuesday,Lydd,Search only,Coast,Supported & Completed,East of England,51.72,0.82,6.00pm - 8.59pm,1
04/09/2018,Tuesday,Sumburgh,Rescue/Recovery,Maritime,Supported & Completed,Highlands and Islands,60.93,-2.12,6.00pm - 8.59pm,2
04/09/2018,Tuesday,Humberside,Rescue/Recovery,Land,Supported & Completed,East Midlands,52.81,-0.31,9.00pm - 11.59pm,2
05/09/2018,Wednesday,Newquay,Rescue/Recovery,Coast,Supported & Completed,South West,50.35,-5.15,12.00am - 2.59am,2
05/09/2018,Wednesday,Lee on Solent,Pre-arranged Transfer,Land,Supported & Completed,South East,50.71,-1.3,12.00am - 2.59am,1
05/09/2018,Wednesday,Prestwick,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,56.53,-6.21,9.00am - 11.59am,2
05/09/2018,Wednesday,Inverness,Rescue/Recovery,Coast,Supported & Completed,Highlands and Islands,57.28,-5.74,9.00am - 11.59am,4
05/09/2018,Wednesday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.08,-4.08,3.00pm - 5.59pm,1
05/09/2018,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Supported & Completed,Highlands and Islands,61.29,1.47,9.00am - 11.59am,5
05/09/2018,Wednesday,St Athan,Rescue/Recovery,Coast,Supported & Completed,Wales,51.6,-4.94,6.00pm - 8.59pm,2
05/09/2018,Wednesday,Sumburgh,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,60.28,-1.37,6.00pm - 8.59pm,1
06/09/2018,Thursday,Lee on Solent,Pre-arranged Transfer,Land,Supported & Completed,South East,50.71,-1.3,12.00am - 2.59am,2
06/09/2018,Thursday,Caernarfon,Rescue/Recovery,Maritime,Supported & Completed,Northern Ireland,54.47,-5.18,12.00am - 2.59am,4
06/09/2018,Thursday,Inverness,Support,Land,Terminated On Scene,Highlands and Islands,57.57,-4.59,9.00am - 11.59am,0
06/09/2018,Thursday,St Athan,Support,Land,Supported & Completed,South West,51.56,-2.4,9.00am - 11.59am,2
06/09/2018,Thursday,Lee on Solent,Search only,Coast,Supported & Completed,South West,50.67,-1.95,6.00pm - 8.59pm,1
06/09/2018,Thursday,Lydd,Pre-arranged Transfer,Land,Supported & Completed,East of England,52.56,1.72,3.00pm - 5.59pm,6
06/09/2018,Thursday,Newquay,Rescue/Recovery,Maritime,Supported & Completed,South West,49.62,-1.93,3.00am - 5.59am,3
07/09/2018,Friday,Caernarfon,Support,Coast,Supported & Completed,Wales,52.85,-4.44,12.00pm - 2.59pm,1
07/09/2018,Friday,Newquay,Support,Coast,Supported & Completed,South West,50.58,-5.02,12.00pm - 2.59pm,2
07/09/2018,Friday,St Athan,Rescue/Recovery,Coast,Supported & Completed,South West,49.91,-6.32,12.00pm - 2.59pm,3
07/09/2018,Friday,Lydd,Search only,Land,Supported & Completed,East of England,52.48,1.76,3.00pm - 5.59pm,6
08/09/2018,Saturday,Caernarfon,Support,Coast,Terminated En Route,North West,53.82,-3.08,3.00am - 5.59am,0
08/09/2018,Saturday,Prestwick,Pre-arranged Transfer,Land,Supported & Completed,Southern Scotland,54.9,-5.02,3.00am - 5.59am,4
08/09/2018,Saturday,Lydd,Rescue/Recovery,Land,Supported & Completed,South East,51.42,0.87,6.00am - 8.59am,3
08/09/2018,Saturday,Caernarfon,Rescue/Recovery,Coast,Terminated Prior to Launch,North West,54.11,-3.24,12.00pm - 2.59pm,0
08/09/2018,Saturday,Newquay,Support,Land,Terminated Prior to Launch,South West,50.08,-5.71,12.00pm - 2.59pm,0
08/09/2018,Saturday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.07,-4.05,12.00pm - 2.59pm,1
08/09/2018,Saturday,Lydd,Rescue/Recovery,Maritime,Supported & Completed,East of England,51.61,1.34,12.00pm - 2.59pm,2
08/09/2018,Saturday,Prestwick,Rescue/Recovery,Land,Supported & Completed,Eastern Scotland,56.38,-4.64,3.00pm - 5.59pm,2
08/09/2018,Saturday,Inverness,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,57.68,-2.81,3.00pm - 5.59pm,2
08/09/2018,Saturday,Sumburgh,Rescue/Recovery,Maritime,Supported & Completed,Highlands and Islands,61.36,1.15,3.00pm - 5.59pm,2
08/09/2018,Saturday,Prestwick,Pre-arranged Transfer,Land,Supported & Completed,Highlands and Islands,55.83,-5.05,6.00pm - 8.59pm,2
08/09/2018,Saturday,Inverness,Support,Land,Terminated Prior to Launch,Highlands and Islands,56.57,-5.03,6.00pm - 8.59pm,0
08/09/2018,Saturday,Inverness,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,57.14,-5.25,6.00pm - 8.59pm,2
09/09/2018,Sunday,Sumburgh,Pre-arranged Transfer,Land,Supported & Completed,Highlands and Islands,60.16,-1.19,6.00am - 8.59am,5
09/09/2018,Sunday,Prestwick,Rescue/Recovery,Land,Supported & Completed,West Central Scotland,56.06,-4.72,12.00pm - 2.59pm,2
09/09/2018,Sunday,Lee on Solent,Rescue/Recovery,Maritime,Supported & Completed,South East,50.38,-0.88,12.00pm - 2.59pm,3
09/09/2018,Sunday,Sumburgh,Rescue/Recovery,Maritime,Supported & Completed,Highlands and Islands,60.69,-2.54,12.00pm - 2.59pm,2
09/09/2018,Sunday,Lee on Solent,Support,Coast,Terminated On Scene,South East,50.67,-1.1,9.00pm - 11.59pm,0
10/09/2018,Monday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.07,-4.04,9.00am - 11.59am,1
10/09/2018,Monday,Prestwick,Rescue/Recovery,Land,Supported & Completed,West Central Scotland,55.98,-4.49,12.00pm - 2.59pm,1
10/09/2018,Monday,Lydd,Rescue/Recovery,Land,Terminated On Scene,South East,51.38,1.32,3.00pm - 5.59pm,1
10/09/2018,Monday,Inverness,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,58.01,-3.85,3.00pm - 5.59pm,1
10/09/2018,Monday,Lydd,Support,Coast,Supported & Completed,South East,50.73,0.23,9.00pm - 11.59pm,1
10/09/2018,Monday,Stornoway,Rescue/Recovery,Coast,Supported & Completed,Highlands and Islands,58.15,-5.24,9.00pm - 11.59pm,3
10/09/2018,Monday,Lydd,Rescue/Recovery,Coast,Supported & Completed,South East,50.73,0.23,3.00pm - 5.59pm,1
11/09/2018,Tuesday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.07,-4.04,12.00pm - 2.59pm,3
11/09/2018,Tuesday,Prestwick,Support,Land,Supported & Completed,Eastern Scotland,56.28,-4.69,3.00pm - 5.59pm,2
11/09/2018,Tuesday,Stornoway,Rescue/Recovery,Coast,Terminated Prior to Launch,Highlands and Islands,57.84,-5.62,3.00pm - 5.59pm,0
11/09/2018,Tuesday,Prestwick,Rescue/Recovery,Land,Supported & Completed,North West,54.46,-3.25,9.00am - 11.59am,5
11/09/2018,Tuesday,Inverness,Rescue/Recovery,Coast,Supported & Completed,North Eastern Scotland,57.29,-1.99,6.00pm - 8.59pm,2
12/09/2018,Wednesday,Inverness,Search only,Land,Supported & Completed,Highlands and Islands,56.85,-5.35,12.00am - 2.59am,4
12/09/2018,Wednesday,Stornoway,Search only,Land,Supported & Completed,Highlands and Islands,56.85,-5.35,3.00am - 5.59am,3
12/09/2018,Wednesday,Stornoway,Search only,Land,Supported & Completed,Highlands and Islands,56.85,-5.35,9.00am - 11.59am,0
12/09/2018,Wednesday,Lydd,Support,Coast,Supported & Completed,South East,50.74,0.25,6.00am - 8.59am,2
12/09/2018,Wednesday,Humberside,Rescue/Recovery,Maritime,Supported & Completed,East of England,53.18,2.85,6.00am - 8.59am,3
12/09/2018,Wednesday,Inverness,Search only,Coast,Supported & Completed,Eastern Scotland,56.46,-2.95,3.00pm - 5.59pm,2
12/09/2018,Wednesday,Prestwick,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,55.62,-5.18,3.00pm - 5.59pm,1
12/09/2018,Wednesday,Lee on Solent,Search only,Land,Supported & Completed,South East,50.91,-1.37,3.00pm - 5.59pm,1
12/09/2018,Wednesday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.07,-4.07,3.00pm - 5.59pm,2
12/09/2018,Wednesday,Inverness,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,56.8,-5.02,6.00pm - 8.59pm,2
12/09/2018,Wednesday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.11,-3.99,6.00pm - 8.59pm,0
12/09/2018,Wednesday,Prestwick,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,56.64,-6.52,9.00pm - 11.59pm,2
12/09/2018,Wednesday,Newquay,Rescue/Recovery,Land,Supported & Completed,South West,50.21,-5.24,9.00pm - 11.59pm,1
12/09/2018,Wednesday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,North West,54.52,-2.91,9.00pm - 11.59pm,2
13/09/2018,Thursday,Newquay,Pre-arranged Transfer,Coast,Supported & Completed,South West,49.91,-6.29,6.00am - 8.59am,1
13/09/2018,Thursday,Caernarfon,Rescue/Recovery,Coast,Supported & Completed,Southern Scotland,54.16,-4.42,9.00am - 11.59am,2
13/09/2018,Thursday,Prestwick,Rescue/Recovery,Land,Terminated Prior to Launch,Eastern Scotland,56.1,-4.52,12.00pm - 2.59pm,0
13/09/2018,Thursday,Prestwick,Support,Land,Terminated En Route,Highlands and Islands,56.74,-4.94,6.00pm - 8.59pm,0
13/09/2018,Thursday,Inverness,Search only,Land,Supported & Completed,North Eastern Scotland,57.08,-3.72,6.00pm - 8.59pm,5
14/09/2018,Friday,Prestwick,Support,Land,Supported & Completed,North Eastern Scotland,57.08,-3.72,6.00am - 8.59am,3
14/09/2018,Friday,Lee on Solent,Search only,Land,Supported & Completed,South East,50.62,-1.18,9.00am - 11.59am,1
14/09/2018,Friday,Stornoway,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,57.59,-5.43,3.00pm - 5.59pm,2
14/09/2018,Friday,Lee on Solent,Search only,Coast,Terminated En Route,South West,50.59,-2.3,6.00pm - 8.59pm,0
14/09/2018,Friday,St Athan,Search only,Coast,Supported & Completed,South West,50.61,-3.39,6.00pm - 8.59pm,1
14/09/2018,Friday,Lee on Solent,Pre-arranged Transfer,Land,Supported & Completed,South West,49.43,-2.6,12.00am - 2.59am,3
14/09/2018,Friday,Caernarfon,Support,Land,Terminated On Scene,Wales,52.69,-3.68,3.00am - 5.59am,3
15/09/2018,Saturday,Lydd,Pre-arranged Transfer,Land,Supported & Completed,London,51.55,-0.15,12.00am - 2.59am,7
15/09/2018,Saturday,Lee on Solent,Rescue/Recovery,Coast,Supported & Completed,South West,50.6,-2.38,9.00am - 11.59am,2
15/09/2018,Saturday,St Athan,Rescue/Recovery,Land,Supported & Completed,South West,50.82,-2.41,12.00pm - 2.59pm,3
15/09/2018,Saturday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,52.87,-3.38,12.00pm - 2.59pm,1
15/09/2018,Saturday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.08,-4.03,12.00pm - 2.59pm,2
15/09/2018,Saturday,Lydd,Search only,Land,Terminated On Scene,South East,51.41,0.53,6.00pm - 8.59pm,1
15/09/2018,Saturday,Inverness,Rescue/Recovery,Land,Supported & Completed,Eastern Scotland,56.62,-3.57,6.00pm - 8.59pm,4
15/09/2018,Saturday,Stornoway,Support,Maritime,Terminated En Route,Highlands and Islands,57.05,-7.27,12.00am - 2.59am,1
16/09/2018,Sunday,Prestwick,Support,Coast,Terminated On Scene,Highlands and Islands,55.83,-5.94,12.00am - 2.59am,1
16/09/2018,Sunday,Inverness,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,57.22,-4.56,6.00am - 8.59am,1
16/09/2018,Sunday,Lee on Solent,Support,Maritime,Supported & Completed,South West,50.54,-2.27,9.00am - 11.59am,2
16/09/2018,Sunday,Inverness,Rescue/Recovery,Coast,Supported & Completed,Highlands and Islands,58.6,-3.54,9.00am - 11.59am,2
16/09/2018,Sunday,Caernarfon,Support,Coast,Terminated En Route,Wales,53.31,-3.68,12.00pm - 2.59pm,0
16/09/2018,Sunday,Inverness,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,56.69,-6.02,12.00pm - 2.59pm,2
16/09/2018,Sunday,Stornoway,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,57.71,-5.63,3.00pm - 5.59pm,2
16/09/2018,Sunday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.08,-4.08,6.00pm - 8.59pm,0
16/09/2018,Sunday,Caernarfon,Rescue/Recovery,Land,Supported & Completed,Wales,53.07,-4.2,6.00pm - 8.59pm,0
16/09/2018,Sunday,Lee on Solent,Rescue/Recovery,Maritime,Supported & Completed,South West,50.02,-3.15,6.00pm - 8.59pm,2
17/09/2018,Monday,Lydd,Support,Land,Supported & Completed,South East,51.37,1.2,9.00am - 11.59am,1
17/09/2018,Monday,St Athan,Rescue/Recovery,Land,Terminated Prior to Launch,West Midlands,52.44,-3.09,12.00pm - 2.59pm,0
