,Date,Day_of_week,Name_of_the_Base,Type_of_tasking,Tasking_location,Tasking_outcome,Region,Latitude,Longitude,Time_of_day,Duration
160,23/05/2015,Saturday,Portland,Rescue/Recovery,Land,Completed,South West,50.63,-2.47,6.00pm - 8.59pm,1
161,24/05/2015,Sunday,Portland,Search only,Maritime,Completed,South East,50.34,-1.5,12.00pm - 2.59pm,1
162,24/05/2015,Sunday,Portland,Search only,Maritime,Completed,South West,50.49,-1.92,3.00pm - 5.59pm,2
163,24/05/2015,Sunday,Portland,Search only,Maritime,Completed,South West,50.52,-2.16,6.00pm - 8.59pm,1
164,24/05/2015,Sunday,Lee On Solent,Search only,Coast,Completed,South East,50.78,-0.95,3.00pm - 5.59pm,0
165,24/05/2015,Sunday,Lee On Solent,Search only,Maritime,Completed,South West,50.51,-2.07,6.00pm - 8.59pm,2
166,24/05/2015,Sunday,Inverness,Aborted/Not Required,Coast,Stood down,Eastern Scotland,56.19,-2.85,12.00pm - 2.59pm,0
167,25/05/2015,Monday,Lee On Solent,Rescue/Recovery,Coast,Completed,South East,50.77,-1.1,9.00pm - 11.59pm,3
168,25/05/2015,Monday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,56.43,-6.05,12.00pm - 2.59pm,3
169,25/05/2015,Monday,Stornoway,Aborted/Not Required,Maritime,Stood down,Highlands and Islands,56.91,-7.1,9.00pm - 11.59pm,0
170,26/05/2015,Tuesday,Portland,Rescue/Recovery,Coast,Completed,South West,50.7,-3.08,12.00pm - 2.59pm,1
171,26/05/2015,Tuesday,Humberside,Rescue/Recovery,Land,Completed,North West,53.67,-2.51,3.00pm - 5.59pm,2
172,26/05/2015,Tuesday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.12,1.72,6.00am - 8.59am,2
173,26/05/2015,Tuesday,Stornoway,Search only,Coast,Completed,Highlands and Islands,58.27,-6.32,6.00pm - 8.59pm,6
174,27/05/2015,Wednesday,Stornoway,Aborted/Not Required,Coast,Completed,Highlands and Islands,58.27,-6.32,6.00am - 8.59am,0
175,27/05/2015,Wednesday,Stornoway,Search only,Coast,Completed,Highlands and Islands,58.22,-6.16,9.00am - 11.59am,2
176,27/05/2015,Wednesday,Sumburgh,Rescue/Recovery,Land,Completed,Highlands and Islands,60.75,-0.85,6.00am - 8.59am,1
177,27/05/2015,Wednesday,Inverness,Aborted/Not Required,Coast,Stood down,Highlands and Islands,58.22,-6.33,6.00am - 8.59am,0
178,27/05/2015,Wednesday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,57.56,-5.45,3.00pm - 5.59pm,2
179,28/05/2015,Thursday,Portland,Rescue/Recovery,Land,Completed,South West,50.79,-2.71,12.00pm - 2.59pm,2
180,28/05/2015,Thursday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,57.22,-6.09,12.00pm - 2.59pm,2
181,29/05/2015,Friday,Lee On Solent,Rescue/Recovery,Maritime,Completed,South East,50.52,-1.23,3.00pm - 5.59pm,1
182,29/05/2015,Friday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,56.81,-4.99,9.00am - 11.59am,1
183,29/05/2015,Friday,Inverness,Aborted/Not Required,Coast,Completed,Highlands and Islands,56.86,-5.77,3.00pm - 5.59pm,4
184,30/05/2015,Saturday,Inverness,Pre-arranged transfer,Coast,Completed,Highlands and Islands,57.25,-5.83,12.00am - 2.59am,2
185,30/05/2015,Saturday,Inverness,Search only,Coast,Completed,Eastern Scotland,56.45,-3.02,9.00am - 11.59am,3
186,30/05/2015,Saturday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,3.00am - 5.59am,1
187,30/05/2015,Saturday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00pm - 8.59pm,2
188,30/05/2015,Saturday,Stornoway,Aborted/Not Required,Land,Completed,Highlands and Islands,56.83,-5.07,12.00pm - 2.59pm,0
189,30/05/2015,Saturday,Stornoway,Rescue/Recovery,Coast,Completed,Highlands and Islands,58.37,-5.2,12.00pm - 2.59pm,3
190,31/05/2015,Sunday,Stornoway,Aborted/Not Required,Land,Stood down,Highlands and Islands,57.89,-4.31,9.00am - 11.59am,0
191,31/05/2015,Sunday,Sumburgh,Aborted/Not Required,Land,Stood down,Highlands and Islands,58.99,-2.93,12.00am - 2.59am,2
192,31/05/2015,Sunday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,59.35,1.54,6.00am - 8.59am,1
193,31/05/2015,Sunday,Lee On Solent,Aborted/Not Required,Land,Stood down,South West,50.87,-1.99,6.00pm - 8.59pm,0
194,31/05/2015,Sunday,Inverness,Search only,Land,Completed,Highlands and Islands,56.73,-4.98,6.00am - 8.59am,5
195,31/05/2015,Sunday,Inverness,Support,Land,Completed,Highlands and Islands,56.75,-5.0,12.00pm - 2.59pm,2
196,31/05/2015,Sunday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,57.63,-5.19,3.00pm - 5.59pm,2
197,31/05/2015,Sunday,Inverness,Rescue/Recovery,Land,Completed,Eastern Scotland,56.25,-3.27,6.00pm - 8.59pm,3
198,01/06/2015,Monday,Inverness,Search only,Land,Completed,North Eastern Scotland,56.99,-3.49,12.00am - 2.59am,1
199,01/06/2015,Monday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,61.12,1.73,9.00am - 11.59am,2
200,01/06/2015,Monday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,57.68,-5.59,3.00pm - 5.59pm,1
201,01/06/2015,Monday,Humberside,Rescue/Recovery,Maritime,Completed,Yorkshire and the Humber,53.64,0.37,6.00am - 8.59am,1
202,03/06/2015,Wednesday,Stornoway,Rescue/Recovery,Maritime,Completed,Highlands and Islands,56.61,-7.27,3.00pm - 5.59pm,4
203,03/06/2015,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,59.61,-3.99,6.00pm - 8.59pm,2
204,03/06/2015,Wednesday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,12.00am - 2.59am,0
